ax,ay,az,gx,gy,gz,target,target_name
-0.02,1.02,-0.19,29.79,-0.85,4.82,0.0,clockwise_wrist_turn
-0.02,1.05,-0.18,19.84,-1.34,3.05,0.0,clockwise_wrist_turn
-0.01,1.06,-0.16,7.08,-1.95,1.95,0.0,clockwise_wrist_turn
-0.01,1.03,-0.16,-2.62,-2.62,1.28,0.0,clockwise_wrist_turn
-0.01,0.99,-0.17,-7.32,-2.5,-0.49,0.0,clockwise_wrist_turn
-0.01,0.99,-0.17,-9.22,-1.95,-1.89,0.0,clockwise_wrist_turn
-0.01,0.98,-0.17,-10.07,-1.22,-2.87,0.0,clockwise_wrist_turn
-0.01,0.99,-0.16,-10.13,-0.79,-3.85,0.0,clockwise_wrist_turn
-0.02,1.02,-0.17,-12.02,-0.61,-4.7,0.0,clockwise_wrist_turn
-0.03,1.07,-0.17,-17.88,-0.79,-4.94,0.0,clockwise_wrist_turn
-0.03,1.11,-0.17,-27.53,-1.34,-5.19,0.0,clockwise_wrist_turn
-0.04,1.15,-0.18,-40.04,-2.14,-5.19,0.0,clockwise_wrist_turn
-0.05,1.2,-0.18,-55.6,-3.3,-4.88,0.0,clockwise_wrist_turn
-0.05,1.25,-0.18,-76.05,-4.27,-4.03,0.0,clockwise_wrist_turn
-0.05,1.27,-0.18,-98.39,-4.94,-2.32,0.0,clockwise_wrist_turn
-0.04,1.27,-0.18,-120.85,-4.7,-0.43,0.0,clockwise_wrist_turn
-0.04,1.27,-0.17,-143.98,-3.97,1.34,0.0,clockwise_wrist_turn
-0.03,1.27,-0.17,-168.4,-3.48,2.87,0.0,clockwise_wrist_turn
-0.03,1.29,-0.16,-196.66,-3.72,3.48,0.0,clockwise_wrist_turn
-0.02,1.34,-0.16,-233.28,-5.13,2.99,0.0,clockwise_wrist_turn
-0.01,1.39,-0.14,-282.29,-8.0,1.46,0.0,clockwise_wrist_turn
-0.01,1.42,-0.14,-343.02,-11.23,0.37,0.0,clockwise_wrist_turn
-0.01,1.4,-0.14,-414.06,-14.59,-0.55,0.0,clockwise_wrist_turn
-0.01,1.32,-0.14,-488.46,-17.64,-1.77,0.0,clockwise_wrist_turn
