ax,ay,az,gx,gy,gz,target,target_name
0.02,0.61,0.96,-19.23,-11.96,-13.85,11.0,palm_down_right_swipe
0.04,0.57,0.95,-17.88,-11.35,-8.54,11.0,palm_down_right_swipe
0.06,0.53,0.93,-16.54,-10.68,-5.31,11.0,palm_down_right_swipe
0.08,0.5,0.93,-15.44,-10.38,-4.33,11.0,palm_down_right_swipe
0.08,0.46,0.93,-13.92,-10.44,-4.09,11.0,palm_down_right_swipe
0.09,0.5,0.93,-12.57,-10.13,-0.24,11.0,palm_down_right_swipe
0.07,0.39,0.94,-14.47,-11.54,9.22,11.0,palm_down_right_swipe
0.08,0.33,0.95,-5.92,-12.57,-0.67,11.0,palm_down_right_swipe
0.1,0.44,0.94,-7.02,-10.25,13.06,11.0,palm_down_right_swipe
0.08,0.42,0.93,-11.17,-9.34,15.75,11.0,palm_down_right_swipe
0.07,0.36,0.94,-11.54,-9.09,17.21,11.0,palm_down_right_swipe
0.06,0.34,0.95,-7.57,-11.35,16.11,11.0,palm_down_right_swipe
0.06,0.4,0.94,-6.53,-11.29,20.14,11.0,palm_down_right_swipe
0.05,0.41,0.95,-10.74,-11.11,25.88,11.0,palm_down_right_swipe
0.02,0.39,0.95,-10.86,-12.21,27.1,11.0,palm_down_right_swipe
0.02,0.44,0.95,-11.78,-13.06,33.57,11.0,palm_down_right_swipe
0.03,0.47,0.95,-16.48,-13.67,41.08,11.0,palm_down_right_swipe
0.03,0.47,0.96,-22.28,-13.06,49.68,11.0,palm_down_right_swipe
0.01,0.43,0.97,-25.33,-14.59,56.64,11.0,palm_down_right_swipe
-0.01,0.42,0.97,-25.57,-17.21,62.62,11.0,palm_down_right_swipe
-0.03,0.44,0.97,-25.94,-19.59,69.34,11.0,palm_down_right_swipe
-0.04,0.47,0.97,-27.77,-20.39,78.8,11.0,palm_down_right_swipe
-0.04,0.49,0.96,-32.1,-19.9,89.42,11.0,palm_down_right_swipe
-0.04,0.49,0.96,-36.74,-18.74,99.67,11.0,palm_down_right_swipe
-0.07,0.5,0.96,-41.2,-16.36,111.51,11.0,palm_down_right_swipe
-0.11,0.46,0.97,-41.5,-18.86,126.83,11.0,palm_down_right_swipe
-0.09,0.38,1.01,-41.08,-17.09,134.16,11.0,palm_down_right_swipe
-0.08,0.3,1.06,-35.83,-19.96,144.23,11.0,palm_down_right_swipe
-0.11,0.25,1.08,-28.69,-21.97,151.43,11.0,palm_down_right_swipe
-0.12,0.24,1.09,-23.68,-24.29,160.58,11.0,palm_down_right_swipe
-0.11,0.23,1.07,-18.37,-25.02,169.07,11.0,palm_down_right_swipe
-0.1,0.25,1.04,-13.12,-24.23,176.45,11.0,palm_down_right_swipe
-0.1,0.28,1.0,-10.56,-22.58,186.16,11.0,palm_down_right_swipe
-0.12,0.26,1.01,-8.85,-21.12,195.13,11.0,palm_down_right_swipe
-0.14,0.15,1.06,-4.76,-21.48,202.76,11.0,palm_down_right_swipe
-0.14,0.03,1.12,3.85,-24.05,207.09,11.0,palm_down_right_swipe
-0.14,-0.06,1.16,13.49,-27.95,207.7,11.0,palm_down_right_swipe
-0.13,-0.1,1.16,20.57,-28.81,214.23,11.0,palm_down_right_swipe
-0.09,-0.19,1.16,27.16,-30.03,218.38,11.0,palm_down_right_swipe
-0.02,-0.3,1.12,38.7,-31.07,215.21,11.0,palm_down_right_swipe
0.07,-0.33,1.07,52.37,-31.98,210.69,11.0,palm_down_right_swipe
0.16,-0.31,1.0,64.88,-31.8,203.67,11.0,palm_down_right_swipe
0.18,-0.28,0.97,70.98,-29.05,195.74,11.0,palm_down_right_swipe
0.16,-0.26,0.98,66.47,-25.27,185.18,11.0,palm_down_right_swipe
0.15,-0.33,1.01,56.4,-20.51,176.33,11.0,palm_down_right_swipe
0.16,-0.5,1.04,49.19,-17.15,164.49,11.0,palm_down_right_swipe
0.18,-0.65,1.05,44.07,-16.42,150.63,11.0,palm_down_right_swipe
0.18,-0.7,1.04,39.61,-16.85,135.31,11.0,palm_down_right_swipe
0.17,-0.64,0.99,34.91,-15.99,122.13,11.0,palm_down_right_swipe
0.15,-0.57,0.94,29.11,-13.61,111.27,11.0,palm_down_right_swipe
0.12,-0.52,0.9,24.84,-10.56,99.18,11.0,palm_down_right_swipe
0.09,-0.47,0.88,22.03,-7.51,88.07,11.0,palm_down_right_swipe
0.07,-0.42,0.89,18.74,-4.94,79.47,11.0,palm_down_right_swipe
0.06,-0.42,0.91,14.28,-2.38,73.79,11.0,palm_down_right_swipe
0.06,-0.42,0.93,10.19,-0.67,68.3,11.0,palm_down_right_swipe
0.06,-0.41,0.95,5.86,-0.24,61.95,11.0,palm_down_right_swipe
0.06,-0.38,0.95,1.65,0.06,56.46,11.0,palm_down_right_swipe
0.08,-0.37,0.94,-1.04,-0.24,49.13,11.0,palm_down_right_swipe
0.09,-0.39,0.93,-0.31,-0.12,41.26,11.0,palm_down_right_swipe
0.1,-0.39,0.93,3.36,0.43,34.91,11.0,palm_down_right_swipe
0.11,-0.35,0.94,6.16,0.55,30.7,11.0,palm_down_right_swipe
0.1,-0.32,0.96,8.18,0.0,23.68,11.0,palm_down_right_swipe
0.09,-0.29,0.97,8.24,0.18,18.49,11.0,palm_down_right_swipe
0.08,-0.27,0.98,7.45,-0.12,13.31,11.0,palm_down_right_swipe
0.08,-0.24,0.98,7.02,0.31,9.09,11.0,palm_down_right_swipe
0.07,-0.21,0.98,4.88,1.22,7.81,11.0,palm_down_right_swipe
0.05,-0.2,0.99,4.7,0.18,3.42,11.0,palm_down_right_swipe
0.05,-0.19,1.0,6.41,-0.43,0.0,11.0,palm_down_right_swipe
0.05,-0.16,1.01,7.26,0.06,-1.34,11.0,palm_down_right_swipe
0.06,-0.14,1.02,6.59,0.37,-1.28,11.0,palm_down_right_swipe
0.06,-0.13,1.03,5.62,0.12,-2.81,11.0,palm_down_right_swipe
0.06,-0.13,1.03,3.48,0.37,-3.72,11.0,palm_down_right_swipe
0.07,-0.16,1.02,1.34,0.85,-4.94,11.0,palm_down_right_swipe
0.08,-0.19,1.02,-0.37,1.16,-6.47,11.0,palm_down_right_swipe
0.09,-0.21,1.03,-1.46,1.71,-8.3,11.0,palm_down_right_swipe
0.1,-0.24,1.03,-2.69,2.62,-10.44,11.0,palm_down_right_swipe
0.11,-0.29,1.04,-3.72,3.3,-13.67,11.0,palm_down_right_swipe
0.12,-0.36,1.04,-2.69,3.48,-17.94,11.0,palm_down_right_swipe
0.12,-0.4,1.06,-2.2,3.11,-22.95,11.0,palm_down_right_swipe
0.12,-0.45,1.07,-5.0,2.01,-30.09,11.0,palm_down_right_swipe
0.12,-0.54,1.08,-8.3,1.04,-38.64,11.0,palm_down_right_swipe
0.12,-0.65,1.06,-9.58,0.0,-49.38,11.0,palm_down_right_swipe
0.13,-0.77,1.03,-8.12,-0.85,-62.13,11.0,palm_down_right_swipe
0.13,-0.93,0.98,-2.93,-0.85,-78.06,11.0,palm_down_right_swipe
0.13,-1.07,0.94,5.0,0.43,-96.19,11.0,palm_down_right_swipe
0.12,-1.13,0.89,12.33,2.01,-115.36,11.0,palm_down_right_swipe
0.12,-1.17,0.85,17.46,5.07,-137.39,11.0,palm_down_right_swipe
0.11,-1.15,0.85,19.04,9.22,-158.63,11.0,palm_down_right_swipe
